# i_rad	L_edd
4.328416544945937194e-01 7.316247783975130758e+00
4.337143191205908854e-01 7.275595688861042909e+00
4.345869837465880514e-01 7.234907533563926130e+00
4.354596483725852174e-01 7.194194997131225122e+00
4.363323129985823834e-01 7.153469758610381035e+00
4.372049776245795494e-01 7.112743497048841235e+00
4.380776422505767154e-01 7.072027891494051310e+00
4.389503068765738814e-01 7.031334620993453299e+00
4.398229715025710473e-01 6.990675364594493679e+00
4.406956361285682133e-01 6.950061801344616264e+00
4.415683007545653793e-01 6.909505610291265754e+00
4.424409653805625453e-01 6.869018470481886851e+00
4.433136300065597113e-01 6.828612060963924257e+00
4.441862946325568773e-01 6.788298060784822674e+00
4.450589592585540433e-01 6.748088148992027691e+00
4.459316238845512093e-01 6.707994004632984009e+00
4.468042885105483752e-01 6.668027306755132777e+00
4.476769531365455412e-01 6.628199734405923138e+00
4.485496177625427072e-01 6.588522966632796241e+00
4.494222823885398732e-01 6.549008682483200339e+00
4.502949470145370392e-01 6.509668561004577469e+00
4.511676116405342052e-01 6.470514281244372334e+00
4.520402762665313712e-01 6.431557522250029635e+00
4.529129408925285372e-01 6.392809963068996737e+00
4.537856055185257032e-01 6.354283282748714790e+00
4.546582701445228691e-01 6.315989160336629382e+00
4.555309347705200351e-01 6.277939274880186993e+00
4.564035993965172011e-01 6.240145305426829658e+00
4.572762640225143671e-01 6.202618931024003857e+00
4.581489286485115331e-01 6.165371830719154289e+00
4.590215932745086991e-01 6.128415683559723881e+00
4.598942579005058651e-01 6.091762168593159110e+00
4.607669225265030311e-01 6.055422964866903790e+00
4.616395871525001970e-01 6.019409751428403510e+00
4.625122517784973630e-01 5.983734207325101195e+00
4.633849164044945290e-01 5.948408011604442436e+00
4.642575810304916950e-01 5.913442843313871933e+00
4.651302456564888610e-01 5.878850381500834388e+00
4.660029102824860270e-01 5.844642305212775391e+00
4.668755749084831930e-01 5.810830293497136978e+00
4.677482395344803034e-01 5.777426025401370069e+00
4.686209041604774694e-01 5.744441179972911371e+00
4.694935687864746354e-01 5.711887436259207362e+00
4.703662334124718014e-01 5.679776473307705409e+00
4.712388980384689674e-01 5.648119970165849324e+00
4.721115626644661334e-01 5.616929605881083809e+00
4.729842272904632994e-01 5.586217059500852677e+00
4.738568919164604654e-01 5.555994010072600631e+00
4.747295565424576314e-01 5.526272136643773258e+00
4.756022211684547973e-01 5.497063118261813486e+00
4.764748857944519633e-01 5.468378633974168679e+00
4.773475504204491293e-01 5.440230362828281763e+00
4.782202150464462953e-01 5.412629983871597439e+00
4.790928796724434613e-01 5.385589176151560409e+00
4.799655442984406273e-01 5.359119618715616262e+00
4.808382089244377933e-01 5.332989873425060701e+00
4.817108735504349593e-01 5.306960932632486028e+00
4.825835381764321252e-01 5.281033121122279184e+00
4.834562028024292912e-01 5.255206763678824444e+00
4.843288674284264572e-01 5.229482185086510526e+00
4.852015320544236232e-01 5.203859710129721705e+00
4.860741966804207892e-01 5.178339663592844921e+00
4.869468613064179552e-01 5.152922370260266227e+00
4.878195259324151212e-01 5.127608154916372563e+00
4.886921905584122872e-01 5.102397342345549092e+00
4.895648551844094531e-01 5.077290257332182755e+00
